Site/Site AQS/Param/POC,Date.LST,ugPerMeter3
Billlings Lockw/301110087/PM2.5-88101/3,7/31/2018,10.4
Billlings Lockw/301110087/PM2.5-88101/3,8/1/2018,13.9
Billlings Lockw/301110087/PM2.5-88101/3,8/2/2018,15.9
Billlings Lockw/301110087/PM2.5-88101/3,8/3/2018,12.8
Billlings Lockw/301110087/PM2.5-88101/3,8/4/2018,13.4
Billlings Lockw/301110087/PM2.5-88101/3,8/5/2018,13.4
Billlings Lockw/301110087/PM2.5-88101/3,8/6/2018,11.5
Billlings Lockw/301110087/PM2.5-88101/3,8/7/2018,11.2
Billlings Lockw/301110087/PM2.5-88101/3,8/8/2018,12.3
Billlings Lockw/301110087/PM2.5-88101/3,8/9/2018,13.9
Billlings Lockw/301110087/PM2.5-88101/3,8/10/2018,16.7
Billlings Lockw/301110087/PM2.5-88101/3,8/11/2018,16.3
Billlings Lockw/301110087/PM2.5-88101/3,8/12/2018,35.3
Billlings Lockw/301110087/PM2.5-88101/3,8/13/2018,37
Billlings Lockw/301110087/PM2.5-88101/3,8/14/2018,27.2
Billlings Lockw/301110087/PM2.5-88101/3,8/15/2018,23.4
Billlings Lockw/301110087/PM2.5-88101/3,8/16/2018,22.9
Billlings Lockw/301110087/PM2.5-88101/3,8/17/2018,24.5
Billlings Lockw/301110087/PM2.5-88101/3,8/18/2018,21.6
Billlings Lockw/301110087/PM2.5-88101/3,8/19/2018,61.3
Billlings Lockw/301110087/PM2.5-88101/3,8/20/2018,25.3
Billlings Lockw/301110087/PM2.5-88101/3,8/21/2018,11.7
Billlings Lockw/301110087/PM2.5-88101/3,8/22/2018,14.5
Billlings Lockw/301110087/PM2.5-88101/3,8/23/2018,25.2
Billlings Lockw/301110087/PM2.5-88101/3,8/24/2018,32.7
Billlings Lockw/301110087/PM2.5-88101/3,8/25/2018,33.6
Billlings Lockw/301110087/PM2.5-88101/3,8/26/2018,24.6
Billlings Lockw/301110087/PM2.5-88101/3,8/27/2018,7.9
Billlings Lockw/301110087/PM2.5-88101/3,8/28/2018,4.4
Birney/300870001/PM2.5-88101/3,1/1/2018,4.2
Birney/300870001/PM2.5-88101/3,1/2/2018,4.1
Birney/300870001/PM2.5-88101/3,1/3/2018,0.2
Birney/300870001/PM2.5-88101/3,1/4/2018,2.3
Birney/300870001/PM2.5-88101/3,1/5/2018,2.6
Birney/300870001/PM2.5-88101/3,1/6/2018,0.8
Birney/300870001/PM2.5-88101/3,1/7/2018,2.1
Birney/300870001/PM2.5-88101/3,1/8/2018,2.5
Birney/300870001/PM2.5-88101/3,1/9/2018,2.2
Birney/300870001/PM2.5-88101/3,1/10/2018,3.8
Birney/300870001/PM2.5-88101/3,1/11/2018,5.4
Birney/300870001/PM2.5-88101/3,1/12/2018,4.3
Birney/300870001/PM2.5-88101/3,1/13/2018,7.3
Birney/300870001/PM2.5-88101/3,1/14/2018,3.9
Birney/300870001/PM2.5-88101/3,1/15/2018,11.8
Birney/300870001/PM2.5-88101/3,1/16/2018,4.2
Birney/300870001/PM2.5-88101/3,1/17/2018,4.3
Birney/300870001/PM2.5-88101/3,1/18/2018,3
Birney/300870001/PM2.5-88101/3,1/19/2018,6.2
Birney/300870001/PM2.5-88101/3,1/20/2018,1
Birney/300870001/PM2.5-88101/3,1/21/2018,6.1
Birney/300870001/PM2.5-88101/3,1/22/2018,5.8
Birney/300870001/PM2.5-88101/3,1/23/2018,2.6
Birney/300870001/PM2.5-88101/3,1/24/2018,2.6
Birney/300870001/PM2.5-88101/3,1/25/2018,3.3
Birney/300870001/PM2.5-88101/3,1/26/2018,0.9
Birney/300870001/PM2.5-88101/3,1/27/2018,4.2
Birney/300870001/PM2.5-88101/3,1/28/2018,7.3
Birney/300870001/PM2.5-88101/3,1/29/2018,3.3
Birney/300870001/PM2.5-88101/3,1/30/2018,2.4
Birney/300870001/PM2.5-88101/3,1/31/2018,1.9
Birney/300870001/PM2.5-88101/3,2/1/2018,5.4
Birney/300870001/PM2.5-88101/3,2/2/2018,2.8
Birney/300870001/PM2.5-88101/3,2/3/2018,4.3
Birney/300870001/PM2.5-88101/3,2/4/2018,2.9
Birney/300870001/PM2.5-88101/3,2/5/2018,2.6
Birney/300870001/PM2.5-88101/3,2/6/2018,3.8
Birney/300870001/PM2.5-88101/3,2/7/2018,4.1
Birney/300870001/PM2.5-88101/3,2/8/2018,3.9
Birney/300870001/PM2.5-88101/3,2/9/2018,2.7
Birney/300870001/PM2.5-88101/3,2/10/2018,3.4
Birney/300870001/PM2.5-88101/3,2/11/2018,3.2
Birney/300870001/PM2.5-88101/3,2/12/2018,2.4
Birney/300870001/PM2.5-88101/3,2/13/2018,6.1
Birney/300870001/PM2.5-88101/3,2/14/2018,3.5
Birney/300870001/PM2.5-88101/3,2/15/2018,3
Birney/300870001/PM2.5-88101/3,2/16/2018,1.5
Birney/300870001/PM2.5-88101/3,2/17/2018,0.9
Birney/300870001/PM2.5-88101/3,2/18/2018,2.8
Birney/300870001/PM2.5-88101/3,2/19/2018,2.8
Birney/300870001/PM2.5-88101/3,2/20/2018,3.8
Birney/300870001/PM2.5-88101/3,2/21/2018,3.2
Birney/300870001/PM2.5-88101/3,2/22/2018,3.7
Birney/300870001/PM2.5-88101/3,2/23/2018,4.2
Birney/300870001/PM2.5-88101/3,2/24/2018,3.2
Birney/300870001/PM2.5-88101/3,2/25/2018,2.3
Birney/300870001/PM2.5-88101/3,2/26/2018,2.7
Birney/300870001/PM2.5-88101/3,2/27/2018,1
Birney/300870001/PM2.5-88101/3,2/28/2018,2.2
Birney/300870001/PM2.5-88101/3,3/1/2018,2.3
Birney/300870001/PM2.5-88101/3,3/2/2018,4.4
Birney/300870001/PM2.5-88101/3,3/3/2018,6.7
Birney/300870001/PM2.5-88101/3,3/4/2018,4.9
Birney/300870001/PM2.5-88101/3,3/5/2018,2.9
Birney/300870001/PM2.5-88101/3,3/6/2018,6.2
Birney/300870001/PM2.5-88101/3,3/7/2018,1.6
